branch_index,cluster_state,message_a,message_b,bell_12,bell_34,bell_56,M_A,tilde_M_A,M_B,tilde_M_B,truth_table_recovered_alice_message,truth_table_recovered_bob_message,v7_recovered_by_alice,v7_recovered_by_bob,v7_success,v7_terminal,v7_prf_confirm_count,branch_success
59,phi1,11,10,11,01,01,10,01,11,01,11,10,10,11,True,COMPLETED,2,True
60,phi1,11,11,00,10,01,10,01,01,10,11,11,11,11,True,COMPLETED,2,True
61,phi1,11,11,00,11,10,01,10,00,11,11,11,11,11,True,COMPLETED,2,True
62,phi1,11,11,11,00,01,10,01,11,00,11,11,11,11,True,COMPLETED,2,True
63,phi1,11,11,11,01,10,01,10,10,01,11,11,11,11,True,COMPLETED,2,True
64,phi2,00,00,01,00,01,01,01,00,00,00,00,00,00,True,COMPLETED,2,True
65,phi2,00,00,01,01,10,10,10,01,01,00,00,00,00,True,COMPLETED,2,True
66,phi2,00,00,10,10,01,01,01,10,10,00,00,00,00,True,COMPLETED,2,True
67,phi2,00,00,10,11,10,10,10,11,11,00,00,00,00,True,COMPLETED,2,True
68,phi2,00,01,01,00,10,10,10,01,00,00,01,01,00,True,COMPLETED,2,True
69,phi2,00,01,01,01,01,01,01,00,01,00,01,01,00,True,COMPLETED,2,True
70,phi2,00,01,10,10,10,10,10,11,10,00,01,01,00,True,COMPLETED,2,True
71,phi2,00,01,10,11,01,01,01,10,11,00,01,01,00,True,COMPLETED,2,True
72,phi2,00,10,01,10,01,01,01,00,10,00,10,10,00,True,COMPLETED,2,True
73,phi2,00,10,01,11,10,10,10,01,11,00,10,10,00,True,COMPLETED,2,True
74,phi2,00,10,10,00,01,01,01,10,00,00,10,10,00,True,COMPLETED,2,True
75,phi2,00,10,10,01,10,10,10,11,01,00,10,10,00,True,COMPLETED,2,True
76,phi2,00,11,01,10,10,10,10,01,10,00,11,11,00,True,COMPLETED,2,True
77,phi2,00,11,01,11,01,01,01,00,11,00,11,11,00,True,COMPLETED,2,True
78,phi2,00,11,10,00,10,10,10,11,00,00,11,11,00,True,COMPLETED,2,True
79,phi2,00,11,10,01,01,01,01,10,01,00,11,11,00,True,COMPLETED,2,True
80,phi2,01,00,01,00,00,01,00,00,00,01,00,00,01,True,COMPLETED,2,True
81,phi2,01,00,01,01,11,10,11,01,01,01,00,00,01,True,COMPLETED,2,True
82,phi2,01,00,10,10,00,01,00,10,10,01,00,00,01,True,COMPLETED,2,True
83,phi2,01,00,10,11,11,10,11,11,11,01,00,00,01,True,COMPLETED,2,True
84,phi2,01,01,01,00,11,10,11,01,00,01,01,01,01,True,COMPLETED,2,True
85,phi2,01,01,01,01,00,01,00,00,01,01,01,01,01,True,COMPLETED,2,True
86,phi2,01,01,10,10,11,10,11,11,10,01,01,01,01,True,COMPLETED,2,True
87,phi2,01,01,10,11,00,01,00,10,11,01,01,01,01,True,COMPLETED,2,True
88,phi2,01,10,01,10,00,01,00,00,10,01,10,10,01,True,COMPLETED,2,True
89,phi2,01,10,01,11,11,10,11,01,11,01,10,10,01,True,COMPLETED,2,True
90,phi2,01,10,10,00,00,01,00,10,00,01,10,10,01,True,COMPLETED,2,True
91,phi2,01,10,10,01,11,10,11,11,01,01,10,10,01,True,COMPLETED,2,True
92,phi2,01,11,01,10,11,10,11,01,10,01,11,11,01,True,COMPLETED,2,True
93,phi2,01,11,01,11,00,01,00,00,11,01,11,11,01,True,COMPLETED,2,True
94,phi2,01,11,10,00,11,10,11,11,00,01,11,11,01,True,COMPLETED,2,True
95,phi2,01,11,10,01,00,01,00,10,01,01,11,11,01,True,COMPLETED,2,True
96,phi2,10,00,01,00,11,01,11,00,00,10,00,00,10,True,COMPLETED,2,True
97,phi2,10,00,01,01,00,10,00,01,01,10,00,00,10,True,COMPLETED,2,True
98,phi2,10,00,10,10,11,01,11,10,10,10,00,00,10,True,COMPLETED,2,True
99,phi2,10,00,10,11,00,10,00,11,11,10,00,00,10,True,COMPLETED,2,True
100,phi2,10,01,01,00,00,10,00,01,00,10,01,01,10,True,COMPLETED,2,True
101,phi2,10,01,01,01,11,01,11,00,01,10,01,01,10,True,COMPLETED,2,True
102,phi2,10,01,10,10,00,10,00,11,10,10,01,01,10,True,COMPLETED,2,True
103,phi2,10,01,10,11,11,01,11,10,11,10,01,01,10,True,COMPLETED,2,True
104,phi2,10,10,01,10,11,01,11,00,10,10,10,10,10,True,COMPLETED,2,True
105,phi2,10,10,01,11,00,10,00,01,11,10,10,10,10,True,COMPLETED,2,True
106,phi2,10,10,10,00,11,01,11,10,00,10,10,10,10,True,COMPLETED,2,True
107,phi2,10,10,10,01,00,10,00,11,01,10,10,10,10,True,COMPLETED,2,True
108,phi2,10,11,01,10,00,10,00,01,10,10,11,11,10,True,COMPLETED,2,True
109,phi2,10,11,01,11,11,01,11,00,11,10,11,11,10,True,COMPLETED,2,True
110,phi2,10,11,10,00,00,10,00,11,00,10,11,11,10,True,COMPLETED,2,True
111,phi2,10,11,10,01,11,01,11,10,01,10,11,11,10,True,COMPLETED,2,True
112,phi2,11,00,01,00,10,01,10,00,00,11,00,00,11,True,COMPLETED,2,True
113,phi2,11,00,01,01,01,10,01,01,01,11,00,00,11,True,COMPLETED,2,True
114,phi2,11,00,10,10,10,01,10,10,10,11,00,00,11,True,COMPLETED,2,True
115,phi2,11,00,10,11,01,10,01,11,11,11,00,00,11,True,COMPLETED,2,True
116,phi2,11,01,01,00,01,10,01,01,00,11,01,01,11,True,COMPLETED,2,True
117,phi2,11,01,01,01,10,01,10,00,01,11,01,01,11,True,COMPLETED,2,True
118,phi2,11,01,10,10,01,10,01,11,10,11,01,01,11,True,COMPLETED,2,True
119,phi2,11,01,10,11,10,01,10,10,11,11,01,01,11,True,COMPLETED,2,True
120,phi2,11,10,01,10,10,01,10,00,10,11,10,10,11,True,COMPLETED,2,True
121,phi2,11,10,01,11,01,10,01,01,11,11,10,10,11,True,COMPLETED,2,True
122,phi2,11,10,10,00,10,01,10,10,00,11,10,10,11,True,COMPLETED,2,True
123,phi2,11,10,10,01,01,10,01,11,01,11,10,10,11,True,COMPLETED,2,True
124,phi2,11,11,01,10,01,10,01,01,10,11,11,11,11,True,COMPLETED,2,True
125,phi2,11,11,01,11,10,01,10,00,11,11,11,11,11,True,COMPLETED,2,True
126,phi2,11,11,10,00,01,10,01,11,00,11,11,11,11,True,COMPLETED,2,True
127,phi2,11,11,10,01,10,01,10,10,01,11,11,11,11,True,COMPLETED,2,True
