profile,cluster_state,message_a,message_b,single_qubit,two_qubit,readout,shots,seed,valid_bell_support_rate,alice_local_decode_rate,bob_local_decode_rate,bidirectional_decode_rate,bidirectional_wilson_low,bidirectional_wilson_high,metric_scope
low,phi2,11,00,0.0005,0.005,0.01,8192,2026090501,0.845703125,0.845703125,0.845703125,0.845703125,0.83771883471994,0.8533633474401572,single six-qubit block gate/readout simulation
low,phi2,11,01,0.0005,0.005,0.01,8192,2026090501,0.8427734375,0.8427734375,0.8427734375,0.8427734375,0.8347303503462109,0.8504952031515127,single six-qubit block gate/readout simulation
low,phi2,11,10,0.0005,0.005,0.01,8192,2026090501,0.8446044921875,0.8446044921875,0.8446044921875,0.8446044921875,0.8365980389303003,0.8522879074814069,single six-qubit block gate/readout simulation
low,phi2,11,11,0.0005,0.005,0.01,8192,2026090501,0.8411865234375,0.8411865234375,0.8411865234375,0.8411865234375,0.8331119910935968,0.8489412218786744,single six-qubit block gate/readout simulation
medium,phi1,00,00,0.001,0.01,0.02,8192,2026090502,0.719482421875,0.719482421875,0.719482421875,0.719482421875,0.7096528436921445,0.7291062535973523,single six-qubit block gate/readout simulation
medium,phi1,00,01,0.001,0.01,0.02,8192,2026090502,0.7215576171875,0.7215576171875,0.7215576171875,0.7215576171875,0.7117491328302907,0.7311584097617208,single six-qubit block gate/readout simulation
medium,phi1,00,10,0.001,0.01,0.02,8192,2026090502,0.7078857421875,0.7078857421875,0.7078857421875,0.7078857421875,0.6979429683149659,0.7176336405193017,single six-qubit block gate/readout simulation
medium,phi1,00,11,0.001,0.01,0.02,8192,2026090502,0.72314453125,0.72314453125,0.72314453125,0.72314453125,0.71335235189839,0.732727531219074,single six-qubit block gate/readout simulation
medium,phi1,01,00,0.001,0.01,0.02,8192,2026090502,0.7166748046875,0.7166748046875,0.7166748046875,0.7166748046875,0.7068170963858668,0.7263293984355218,single six-qubit block gate/readout simulation
medium,phi1,01,01,0.001,0.01,0.02,8192,2026090502,0.712158203125,0.712158203125,0.712158203125,0.712158203125,0.7022562180798138,0.7218613075537488,single six-qubit block gate/readout simulation
