cluster_state,message_a,message_b,state_fidelity,valid_bell_support_probability,alice_local_decode_probability,bob_local_decode_probability,bidirectional_decode_probability,nonzero_bell_branches,joint_6n_state_constructed
phi1,00,00,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi1,00,01,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi1,00,10,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi1,00,11,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi1,01,00,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi1,01,01,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi1,01,10,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi1,01,11,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi1,10,00,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi1,10,01,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi1,10,10,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi1,10,11,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi1,11,00,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi1,11,01,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi1,11,10,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi1,11,11,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi2,00,00,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi2,00,01,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi2,00,10,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi2,00,11,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi2,01,00,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi2,01,01,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi2,01,10,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi2,01,11,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi2,10,00,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi2,10,01,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi2,10,10,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi2,10,11,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi2,11,00,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi2,11,01,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi2,11,10,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
phi2,11,11,0.9999999999999978,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,4,False
