theta,seed,shots_per_bb84_state,total_shots,errors,qber_empirical,qber_wilson_low,qber_wilson_high,qber_analytic,scope
0.0,2026090501,8192,32768,0,0.0,0.0,0.00011721827793903778,0.0,specified_U_theta_probe_family_only
0.0,2026090502,8192,32768,0,0.0,0.0,0.00011721827793903778,0.0,specified_U_theta_probe_family_only
0.0,2026090503,8192,32768,0,0.0,0.0,0.00011721827793903778,0.0,specified_U_theta_probe_family_only
0.0,2026090504,8192,32768,0,0.0,0.0,0.00011721827793903778,0.0,specified_U_theta_probe_family_only
0.0,2026090505,8192,32768,0,0.0,0.0,0.00011721827793903778,0.0,specified_U_theta_probe_family_only
0.39269908169872414,2026090501,8192,32768,606,0.01849365234375,0.017090337107604936,0.020009850269673023,0.019030116872178315,specified_U_theta_probe_family_only
0.39269908169872414,2026090502,8192,32768,639,0.019500732421875,0.018058910535931387,0.02105520090121156,0.019030116872178315,specified_U_theta_probe_family_only
0.39269908169872414,2026090503,8192,32768,608,0.0185546875,0.017149007521091518,0.020073235859814624,0.019030116872178315,specified_U_theta_probe_family_only
0.39269908169872414,2026090504,8192,32768,619,0.018890380859375,0.017471767442448407,0.020421783958412734,0.019030116872178315,specified_U_theta_probe_family_only
0.39269908169872414,2026090505,8192,32768,612,0.0186767578125,0.017266360608936174,0.020199994779226328,0.019030116872178315,specified_U_theta_probe_family_only
0.7853981633974483,2026090501,8192,32768,2429,0.074127197265625,0.07134031305169913,0.07701392163266607,0.0732233047033631,specified_U_theta_probe_family_only
0.7853981633974483,2026090502,8192,32768,2422,0.07391357421875,0.07113047722950305,0.07679656144216351,0.0732233047033631,specified_U_theta_probe_family_only
0.7853981633974483,2026090503,8192,32768,2362,0.07208251953125,0.06933217011776775,0.07493318844505338,0.0732233047033631,specified_U_theta_probe_family_only
0.7853981633974483,2026090504,8192,32768,2389,0.072906494140625,0.0701413445194092,0.07577177009239236,0.0732233047033631,specified_U_theta_probe_family_only
0.7853981633974483,2026090505,8192,32768,2373,0.072418212890625,0.06966182104120529,0.07527484554157084,0.0732233047033631,specified_U_theta_probe_family_only
1.1780972450961724,2026090501,8192,32768,4947,0.150970458984375,0.14713496571883228,0.15488777753341315,0.15432914190872754,specified_U_theta_probe_family_only
1.1780972450961724,2026090502,8192,32768,5083,0.155120849609375,0.15124157283927464,0.15908097865968712,0.15432914190872754,specified_U_theta_probe_family_only
1.1780972450961724,2026090503,8192,32768,5112,0.156005859375,0.15211737460633426,0.15997498894523612,0.15432914190872754,specified_U_theta_probe_family_only
1.1780972450961724,2026090504,8192,32768,5034,0.15362548828125,0.14976187152189918,0.1575703078881721,0.15432914190872754,specified_U_theta_probe_family_only
1.1780972450961724,2026090505,8192,32768,5192,0.158447265625,0.1545336085338508,0.1624409951628468,0.15432914190872754,specified_U_theta_probe_family_only
1.5707963267948966,2026090501,8192,32768,8114,0.24761962890625,0.2429759773640564,0.25232244763341405,0.24999999999999997,specified_U_theta_probe_family_only
1.5707963267948966,2026090502,8192,32768,8191,0.249969482421875,0.24531077421164302,0.25468680692551243,0.24999999999999997,specified_U_theta_probe_family_only
1.5707963267948966,2026090503,8192,32768,8148,0.2486572265625,0.24400690381478632,0.2533664732443632,0.24999999999999997,specified_U_theta_probe_family_only
1.5707963267948966,2026090504,8192,32768,8196,0.2501220703125,0.24546239077984733,0.25484033036637854,0.24999999999999997,specified_U_theta_probe_family_only
1.5707963267948966,2026090505,8192,32768,8233,0.251251220703125,0.2465843774617074,0.25597637975163984,0.24999999999999997,specified_U_theta_probe_family_only
