mode,message_bits_per_party,lambda_bits,success,terminal_state,records,mac_records,prf_confirm_records,alice_state,bob_state
BASIC,8,,True,COMPLETED,6,4,2,"{""S"": 0, ""V"": 0, ""accepted_tokens"": [""388460be570e8d0de5ef3d724e47f03215e82a7d7238dfe91a7c7ba939e0d963:B2A:0:QRECV_ACK"", ""388460be570e8d0de5ef3d724e47f03215e82a7d7238dfe91a7c7ba939e0d963:B2A:1:DIALOGUE_B_QPASS"", ""388460be570e8d0de5ef3d724e47f03215e82a7d7238dfe91a7c7ba939e0d963:B2A:2:CONFIRM""], ""ack_lengths"": [8, 8], ""active"": false, ""auth_counters"": {""ack_mac_verify"": 1, ""confirm_prf_generate"": 1, ""confirm_prf_verify"": 1, ""decoy_mac_generate"": 1, ""dialogue_a_mac_generate"": 1, ""dialogue_b_qpass_mac_verify"": 1}, ""ciphertext_roles"": [""A"", ""B""], ""commit_set_sent"": false, ""completed"": true, ""confirm_sent"": true, ""current_gap"": 0, ""decoy_accepted"": false, ""decoy_sent"": true, ""detection_passed"": false, ""identity"": ""Alice"", ""key_handle"": ""58e73c45ec5de6a7b7be6077602b46fd"", ""max_gap"": 0, ""mode"": ""BASIC"", ""next_recv_seq"": 3, ""next_send_seq"": 3, ""own_open_sent"": [], ""params_hash"": ""ae213900804b4c566c7d0f00d6461545ee1d3fcee0d878468bd1af321249f6fe"", ""peer_commit_indices"": [], ""peer_confirm_accepted"": true, ""peer_open_accepted"": [], ""phase"": ""COMPLETED"", ""private_fields_present"": [""own_message""], ""public_hashes"": {""h_ack"": ""2895da99a5d1b78458f76f795ddb9e4a67a46b7f6f73c7f990f20e5e72dbb589"", ""h_dist"": ""a9846ba290f103fa9dc12bd26a74020f76d855a36114c9a53ecb4615ebf7bd96""}, ""qpass_authenticated"": true, ""qrecv_accepted"": true, ""qrecv_sent"": false, ""quantum_received"": false, ""quantum_sent"": true, ""quantum_view_fields"": [""shared_M_own"", ""shared_M_peer"", ""tilde_own""], ""recovered_peer_message_present"": true, ""sent_tokens"": [""388460be570e8d0de5ef3d724e47f03215e82a7d7238dfe91a7c7ba939e0d963:A2B:0:DECOY_INFO"", ""388460be570e8d0de5ef3d724e47f03215e82a7d7238dfe91a7c7ba939e0d963:A2B:1:DIALOGUE_A"", ""388460be570e8d0de5ef3d724e47f03215e82a7d7238dfe91a7c7ba939e0d963:A2B:2:CONFIRM""], ""sid"": ""388460be570e8d0de5ef3d724e47f03215e82a7d7238dfe91a7c7ba939e0d963"", ""t_q"": ""a0245173e3697b30b8d64849827f0350e5b5be195d671be086e9fe0dc296dcad"", ""terminal_reason"": ""COMPLETED"", ""terminated"": true}","{""S"": 0, ""V"": 0, ""accepted_tokens"": [""388460be570e8d0de5ef3d724e47f03215e82a7d7238dfe91a7c7ba939e0d963:A2B:0:DECOY_INFO"", ""388460be570e8d0de5ef3d724e47f03215e82a7d7238dfe91a7c7ba939e0d963:A2B:1:DIALOGUE_A"", ""388460be570e8d0de5ef3d724e47f03215e82a7d7238dfe91a7c7ba939e0d963:A2B:2:CONFIRM""], ""ack_lengths"": [8, 8], ""active"": false, ""auth_counters"": {""ack_mac_generate"": 1, ""confirm_prf_generate"": 1, ""confirm_prf_verify"": 1, ""decoy_mac_verify"": 1, ""dialogue_a_mac_verify"": 1, ""dialogue_b_qpass_mac_generate"": 1}, ""ciphertext_roles"": [""A"", ""B""], ""commit_set_sent"": false, ""completed"": true, ""confirm_sent"": true, ""current_gap"": 0, ""decoy_accepted"": true, ""decoy_sent"": false, ""detection_passed"": true, ""identity"": ""Bob"", ""key_handle"": ""a24af096195dfd650bd546b497dfc17f"", ""max_gap"": 0, ""mode"": ""BASIC"", ""next_recv_seq"": 3, ""next_send_seq"": 3, ""own_open_sent"": [], ""params_hash"": ""ae213900804b4c566c7d0f00d6461545ee1d3fcee0d878468bd1af321249f6fe"", ""peer_commit_indices"": [], ""peer_confirm_accepted"": true, ""peer_open_accepted"": [], ""phase"": ""COMPLETED"", ""private_fields_present"": [""detection_counts"", ""own_message""], ""public_hashes"": {""h_ack"": ""2895da99a5d1b78458f76f795ddb9e4a67a46b7f6f73c7f990f20e5e72dbb589"", ""h_dist"": ""a9846ba290f103fa9dc12bd26a74020f76d855a36114c9a53ecb4615ebf7bd96""}, ""qpass_authenticated"": false, ""qrecv_accepted"": false, ""qrecv_sent"": true, ""quantum_received"": true, ""quantum_sent"": false, ""quantum_view_fields"": [""shared_M_own"", ""shared_M_peer"", ""tilde_own""], ""recovered_peer_message_present"": true, ""sent_tokens"": [""388460be570e8d0de5ef3d724e47f03215e82a7d7238dfe91a7c7ba939e0d963:B2A:0:QRECV_ACK"", ""388460be570e8d0de5ef3d724e47f03215e82a7d7238dfe91a7c7ba939e0d963:B2A:1:DIALOGUE_B_QPASS"", ""388460be570e8d0de5ef3d724e47f03215e82a7d7238dfe91a7c7ba939e0d963:B2A:2:CONFIRM""], ""sid"": ""388460be570e8d0de5ef3d724e47f03215e82a7d7238dfe91a7c7ba939e0d963"", ""t_q"": ""a0245173e3697b30b8d64849827f0350e5b5be195d671be086e9fe0dc296dcad"", ""terminal_reason"": ""COMPLETED"", ""terminated"": true}"
RELEASE,10,3,True,COMPLETED,16,14,2,"{""S"": 10, ""V"": 10, ""accepted_tokens"": [""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:B2A:0:QRECV_ACK"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:B2A:1:DIALOGUE_B_QPASS"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:B2A:2:COMMIT_SET"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:B2A:3:OPEN"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:B2A:4:OPEN"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:B2A:5:OPEN"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:B2A:6:OPEN"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:B2A:7:CONFIRM""], ""ack_lengths"": [9, 9], ""active"": false, ""auth_counters"": {""ack_mac_verify"": 1, ""commit_set_mac_generate"": 1, ""commit_set_mac_verify"": 1, ""confirm_prf_generate"": 1, ""confirm_prf_verify"": 1, ""decoy_mac_generate"": 1, ""dialogue_a_mac_generate"": 1, ""dialogue_b_qpass_mac_verify"": 1, ""open_mac_generate"": 4, ""open_mac_verify"": 4}, ""ciphertext_roles"": [""A"", ""B""], ""commit_set_sent"": true, ""completed"": true, ""confirm_sent"": true, ""current_gap"": 0, ""decoy_accepted"": false, ""decoy_sent"": true, ""detection_passed"": false, ""identity"": ""Alice"", ""key_handle"": ""b62cc1978f3db32e08d73f02bb4b5ee1"", ""max_gap"": 3, ""mode"": ""RELEASE"", ""next_recv_seq"": 8, ""next_send_seq"": 8, ""own_open_sent"": [1, 2, 3, 4], ""params_hash"": ""88a5eb0ef454f0ace96c6f327af9293e87e6e30125ca5e7e07c4d416a6d60c65"", ""peer_commit_indices"": [1, 2, 3, 4], ""peer_confirm_accepted"": true, ""peer_open_accepted"": [1, 2, 3, 4], ""phase"": ""COMPLETED"", ""private_fields_present"": [""own_mask"", ""own_message"", ""own_openings""], ""public_hashes"": {""h_ack"": ""d76d7ca9031213244820cd8450382d8a766a3844350dca1d8c7bf25646b644e2"", ""h_dist"": ""05aa533f49bac8a456613476b57634eaf7ec50d590baaffc15ea488fcf6312a4"", ""own_commit_set_hash"": ""e72fd23b63e62bbd7c6e7037c3709e150c36bbe303a140a542e52bd57d062873"", ""peer_commit_set_hash"": ""407fa96b924eceff33eb29cc126afcfa633d2999fd677ecf44c67e939beb9977""}, ""qpass_authenticated"": true, ""qrecv_accepted"": true, ""qrecv_sent"": false, ""quantum_received"": false, ""quantum_sent"": true, ""quantum_view_fields"": [""shared_M_own"", ""shared_M_peer"", ""tilde_own""], ""recovered_peer_message_present"": true, ""sent_tokens"": [""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:A2B:0:DECOY_INFO"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:A2B:1:DIALOGUE_A"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:A2B:2:COMMIT_SET"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:A2B:3:OPEN"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:A2B:4:OPEN"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:A2B:5:OPEN"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:A2B:6:OPEN"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:A2B:7:CONFIRM""], ""sid"": ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4"", ""t_q"": ""0aa23596ea921aa1e1757912a691ca97b6df7c867ba28a989bdd6207781f7f5f"", ""terminal_reason"": ""COMPLETED"", ""terminated"": true}","{""S"": 10, ""V"": 10, ""accepted_tokens"": [""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:A2B:0:DECOY_INFO"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:A2B:1:DIALOGUE_A"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:A2B:2:COMMIT_SET"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:A2B:3:OPEN"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:A2B:4:OPEN"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:A2B:5:OPEN"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:A2B:6:OPEN"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:A2B:7:CONFIRM""], ""ack_lengths"": [9, 9], ""active"": false, ""auth_counters"": {""ack_mac_generate"": 1, ""commit_set_mac_generate"": 1, ""commit_set_mac_verify"": 1, ""confirm_prf_generate"": 1, ""confirm_prf_verify"": 1, ""decoy_mac_verify"": 1, ""dialogue_a_mac_verify"": 1, ""dialogue_b_qpass_mac_generate"": 1, ""open_mac_generate"": 4, ""open_mac_verify"": 4}, ""ciphertext_roles"": [""A"", ""B""], ""commit_set_sent"": true, ""completed"": true, ""confirm_sent"": true, ""current_gap"": 0, ""decoy_accepted"": true, ""decoy_sent"": false, ""detection_passed"": true, ""identity"": ""Bob"", ""key_handle"": ""9d19f6cb9e5394fd962db3a16f82f4ae"", ""max_gap"": 3, ""mode"": ""RELEASE"", ""next_recv_seq"": 8, ""next_send_seq"": 8, ""own_open_sent"": [1, 2, 3, 4], ""params_hash"": ""88a5eb0ef454f0ace96c6f327af9293e87e6e30125ca5e7e07c4d416a6d60c65"", ""peer_commit_indices"": [1, 2, 3, 4], ""peer_confirm_accepted"": true, ""peer_open_accepted"": [1, 2, 3, 4], ""phase"": ""COMPLETED"", ""private_fields_present"": [""detection_counts"", ""own_mask"", ""own_message"", ""own_openings""], ""public_hashes"": {""h_ack"": ""d76d7ca9031213244820cd8450382d8a766a3844350dca1d8c7bf25646b644e2"", ""h_dist"": ""05aa533f49bac8a456613476b57634eaf7ec50d590baaffc15ea488fcf6312a4"", ""own_commit_set_hash"": ""407fa96b924eceff33eb29cc126afcfa633d2999fd677ecf44c67e939beb9977"", ""peer_commit_set_hash"": ""e72fd23b63e62bbd7c6e7037c3709e150c36bbe303a140a542e52bd57d062873""}, ""qpass_authenticated"": false, ""qrecv_accepted"": false, ""qrecv_sent"": true, ""quantum_received"": true, ""quantum_sent"": false, ""quantum_view_fields"": [""shared_M_own"", ""shared_M_peer"", ""tilde_own""], ""recovered_peer_message_present"": true, ""sent_tokens"": [""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:B2A:0:QRECV_ACK"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:B2A:1:DIALOGUE_B_QPASS"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:B2A:2:COMMIT_SET"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:B2A:3:OPEN"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:B2A:4:OPEN"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:B2A:5:OPEN"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:B2A:6:OPEN"", ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4:B2A:7:CONFIRM""], ""sid"": ""52bcccf445fa6a15813c928649e3dfba511fe3b9472253b89b72e0963f5219a4"", ""t_q"": ""0aa23596ea921aa1e1757912a691ca97b6df7c867ba28a989bdd6207781f7f5f"", ""terminal_reason"": ""COMPLETED"", ""terminated"": true}"
