strategy,L,attack_fraction,base_seed,derived_seed,trials,undetected,attacked_particles,attacked_particle_passes,analytic_undetected,simulation_level
random_basis_imr,16,1.0,2026090504,831819648,20000,202,320000,239908,0.010022595757618546,explicit_BB84_particle_events
random_basis_imr,16,1.0,2026090505,3976389212,20000,190,320000,239674,0.010022595757618546,explicit_BB84_particle_events
random_basis_imr,64,0.25,2026090501,2255076219,20000,301,320257,240250,0.01607539635095263,explicit_BB84_particle_events
random_basis_imr,64,0.25,2026090502,2640077532,20000,323,319650,239239,0.01607539635095263,explicit_BB84_particle_events
random_basis_imr,64,0.25,2026090503,492837325,20000,343,320859,240754,0.01607539635095263,explicit_BB84_particle_events
random_basis_imr,64,0.25,2026090504,3936568042,20000,343,319376,239835,0.01607539635095263,explicit_BB84_particle_events
random_basis_imr,64,0.25,2026090505,12973519,20000,339,320829,240728,0.01607539635095263,explicit_BB84_particle_events
random_basis_imr,64,1.0,2026090501,4200998748,20000,0,1280000,959642,1.0090689833159348e-08,explicit_BB84_particle_events
random_basis_imr,64,1.0,2026090502,3326620199,20000,0,1280000,960155,1.0090689833159348e-08,explicit_BB84_particle_events
random_basis_imr,64,1.0,2026090503,851954348,20000,0,1280000,960096,1.0090689833159348e-08,explicit_BB84_particle_events
random_basis_imr,64,1.0,2026090504,2518644774,20000,0,1280000,959451,1.0090689833159348e-08,explicit_BB84_particle_events
random_basis_imr,64,1.0,2026090505,4157999743,20000,0,1280000,960337,1.0090689833159348e-08,explicit_BB84_particle_events
fixed_z_imr,8,0.25,2026090501,717022269,20000,11969,39614,29660,0.5967194738332182,explicit_BB84_particle_events
fixed_z_imr,8,0.25,2026090502,1596604908,20000,11984,40178,30258,0.5967194738332182,explicit_BB84_particle_events
fixed_z_imr,8,0.25,2026090503,336364251,20000,11980,39869,29947,0.5967194738332182,explicit_BB84_particle_events
fixed_z_imr,8,0.25,2026090504,3085122069,20000,11792,40074,29915,0.5967194738332182,explicit_BB84_particle_events
fixed_z_imr,8,0.25,2026090505,2707597152,20000,11859,39962,29821,0.5967194738332182,explicit_BB84_particle_events
fixed_z_imr,8,1.0,2026090501,683305238,20000,1989,160000,119815,0.1001129150390625,explicit_BB84_particle_events
fixed_z_imr,8,1.0,2026090502,2538277615,20000,2046,160000,120194,0.1001129150390625,explicit_BB84_particle_events
fixed_z_imr,8,1.0,2026090503,1476406005,20000,1994,160000,120004,0.1001129150390625,explicit_BB84_particle_events
fixed_z_imr,8,1.0,2026090504,1246552718,20000,1978,160000,120051,0.1001129150390625,explicit_BB84_particle_events
fixed_z_imr,8,1.0,2026090505,3680861281,20000,1983,160000,119997,0.1001129150390625,explicit_BB84_particle_events
fixed_z_imr,16,0.25,2026090501,644994630,20000,7192,79988,60168,0.3560741304517928,explicit_BB84_particle_events
fixed_z_imr,16,0.25,2026090502,1314812452,20000,7119,79912,59898,0.3560741304517928,explicit_BB84_particle_events
fixed_z_imr,16,0.25,2026090503,3664798286,20000,7077,80372,60190,0.3560741304517928,explicit_BB84_particle_events
fixed_z_imr,16,0.25,2026090504,153071330,20000,7211,79806,59962,0.3560741304517928,explicit_BB84_particle_events
fixed_z_imr,16,0.25,2026090505,3143069003,20000,7058,80421,60248,0.3560741304517928,explicit_BB84_particle_events
fixed_z_imr,16,1.0,2026090501,802910189,20000,216,320000,240136,0.010022595757618546,explicit_BB84_particle_events
fixed_z_imr,16,1.0,2026090502,2342221737,20000,192,320000,239767,0.010022595757618546,explicit_BB84_particle_events
fixed_z_imr,16,1.0,2026090503,2651571969,20000,177,320000,239573,0.010022595757618546,explicit_BB84_particle_events
fixed_z_imr,16,1.0,2026090504,2918121078,20000,184,320000,240045,0.010022595757618546,explicit_BB84_particle_events
fixed_z_imr,16,1.0,2026090505,3937589291,20000,194,320000,239752,0.010022595757618546,explicit_BB84_particle_events
fixed_z_imr,64,0.25,2026090501,3638923072,20000,299,320165,239825,0.01607539635095263,explicit_BB84_particle_events
fixed_z_imr,64,0.25,2026090502,4107950322,20000,340,320304,240342,0.01607539635095263,explicit_BB84_particle_events
fixed_z_imr,64,0.25,2026090503,63339431,20000,281,319092,239503,0.01607539635095263,explicit_BB84_particle_events
fixed_z_imr,64,0.25,2026090504,3559519938,20000,317,320091,240339,0.01607539635095263,explicit_BB84_particle_events
fixed_z_imr,64,0.25,2026090505,2886485187,20000,336,319014,238832,0.01607539635095263,explicit_BB84_particle_events
fixed_z_imr,64,1.0,2026090501,1659047182,20000,0,1280000,960112,1.0090689833159348e-08,explicit_BB84_particle_events
fixed_z_imr,64,1.0,2026090502,842480974,20000,0,1280000,960592,1.0090689833159348e-08,explicit_BB84_particle_events
fixed_z_imr,64,1.0,2026090503,1436577184,20000,0,1280000,959700,1.0090689833159348e-08,explicit_BB84_particle_events
fixed_z_imr,64,1.0,2026090504,1796471992,20000,0,1280000,960188,1.0090689833159348e-08,explicit_BB84_particle_events
fixed_z_imr,64,1.0,2026090505,2556142116,20000,0,1280000,960631,1.0090689833159348e-08,explicit_BB84_particle_events
biased_basis_imr,8,0.25,2026090501,2545941521,20000,11869,40088,29941,0.5967194738332182,explicit_BB84_particle_events
biased_basis_imr,8,0.25,2026090502,3783360204,20000,11911,40221,30137,0.5967194738332182,explicit_BB84_particle_events
biased_basis_imr,8,0.25,2026090503,2748782548,20000,11991,39954,30037,0.5967194738332182,explicit_BB84_particle_events
biased_basis_imr,8,0.25,2026090504,1519526913,20000,11917,39681,29639,0.5967194738332182,explicit_BB84_particle_events
biased_basis_imr,8,0.25,2026090505,3852402646,20000,11931,39955,29911,0.5967194738332182,explicit_BB84_particle_events
biased_basis_imr,8,1.0,2026090501,2641915368,20000,2044,160000,120153,0.1001129150390625,explicit_BB84_particle_events
biased_basis_imr,8,1.0,2026090502,3108861673,20000,1972,160000,119872,0.1001129150390625,explicit_BB84_particle_events
biased_basis_imr,8,1.0,2026090503,2357295250,20000,2010,160000,119898,0.1001129150390625,explicit_BB84_particle_events
biased_basis_imr,8,1.0,2026090504,2114114455,20000,2070,160000,120129,0.1001129150390625,explicit_BB84_particle_events
biased_basis_imr,8,1.0,2026090505,1496337326,20000,2065,160000,119870,0.1001129150390625,explicit_BB84_particle_events
biased_basis_imr,16,0.25,2026090501,2848951054,20000,7182,79813,59888,0.3560741304517928,explicit_BB84_particle_events
biased_basis_imr,16,0.25,2026090502,1279091275,20000,7170,79984,60016,0.3560741304517928,explicit_BB84_particle_events
biased_basis_imr,16,0.25,2026090503,1840443097,20000,7074,80048,59945,0.3560741304517928,explicit_BB84_particle_events
biased_basis_imr,16,0.25,2026090504,1508013522,20000,7235,79528,59794,0.3560741304517928,explicit_BB84_particle_events
biased_basis_imr,16,0.25,2026090505,4049609127,20000,7210,79894,60008,0.3560741304517928,explicit_BB84_particle_events
biased_basis_imr,16,1.0,2026090501,817444529,20000,191,320000,240029,0.010022595757618546,explicit_BB84_particle_events
biased_basis_imr,16,1.0,2026090502,3959600870,20000,195,320000,239707,0.010022595757618546,explicit_BB84_particle_events
biased_basis_imr,16,1.0,2026090503,3359280875,20000,209,320000,240217,0.010022595757618546,explicit_BB84_particle_events
biased_basis_imr,16,1.0,2026090504,1296262238,20000,197,320000,239900,0.010022595757618546,explicit_BB84_particle_events
biased_basis_imr,16,1.0,2026090505,1099647522,20000,211,320000,240219,0.010022595757618546,explicit_BB84_particle_events
biased_basis_imr,64,0.25,2026090501,793445325,20000,305,319989,239594,0.01607539635095263,explicit_BB84_particle_events
biased_basis_imr,64,0.25,2026090502,3179514213,20000,323,320126,240528,0.01607539635095263,explicit_BB84_particle_events
biased_basis_imr,64,0.25,2026090503,4186135051,20000,296,320755,240544,0.01607539635095263,explicit_BB84_particle_events
biased_basis_imr,64,0.25,2026090504,2478437844,20000,339,320321,240188,0.01607539635095263,explicit_BB84_particle_events
biased_basis_imr,64,0.25,2026090505,2137539818,20000,327,320812,240752,0.01607539635095263,explicit_BB84_particle_events
biased_basis_imr,64,1.0,2026090501,3031319477,20000,0,1280000,960301,1.0090689833159348e-08,explicit_BB84_particle_events
biased_basis_imr,64,1.0,2026090502,198462854,20000,0,1280000,960240,1.0090689833159348e-08,explicit_BB84_particle_events
biased_basis_imr,64,1.0,2026090503,2348574734,20000,0,1280000,960858,1.0090689833159348e-08,explicit_BB84_particle_events
biased_basis_imr,64,1.0,2026090504,4008910055,20000,0,1280000,959368,1.0090689833159348e-08,explicit_BB84_particle_events
biased_basis_imr,64,1.0,2026090505,1455256797,20000,0,1280000,960014,1.0090689833159348e-08,explicit_BB84_particle_events
