mode,n_blocks,ell,lambda_bits,r,run_index,input_seed,fixture_secret_seed,warmups_before_measurement,elapsed_ns,elapsed_ms,success,post_ke_records,wire_bytes,timing_scope,timer,process
BASIC,1,4,,0,24,2026090505,2046090529,5,3934100,3.9341,True,6,4645,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
BASIC,1,4,,0,25,2026090506,2046090531,5,3987000,3.987,True,6,4645,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
BASIC,1,4,,0,26,2026090507,2046090533,5,3808500,3.8085,True,6,4645,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
BASIC,1,4,,0,27,2026090508,2046090535,5,3905100,3.9051,True,6,4645,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
BASIC,1,4,,0,28,2026090509,2046090537,5,3945800,3.9458,True,6,4645,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
BASIC,1,4,,0,29,2026090510,2046090539,5,3813800,3.8138,True,6,4645,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,0,2026090501,2046091501,5,7059900,7.0599,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,1,2026090502,2046091503,5,7055500,7.0555,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,2,2026090503,2046091505,5,6995400,6.9954,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,3,2026090504,2046091507,5,7069900,7.0699,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,4,2026090505,2046091509,5,7219900,7.2199,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,5,2026090506,2046091511,5,7523500,7.5235,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,6,2026090507,2046091513,5,7460900,7.4609,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,7,2026090508,2046091515,5,7860200,7.8602,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,8,2026090509,2046091517,5,7658800,7.6588,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,9,2026090510,2046091519,5,7383900,7.3839,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,10,2026090501,2046091511,5,7249700,7.2497,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,11,2026090502,2046091513,5,7145300,7.1453,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,12,2026090503,2046091515,5,7237600,7.2376,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,13,2026090504,2046091517,5,7320300,7.3203,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,14,2026090505,2046091519,5,6988500,6.9885,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,15,2026090506,2046091521,5,7815300,7.8153,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,16,2026090507,2046091523,5,7336700,7.3367,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,17,2026090508,2046091525,5,7335800,7.3358,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,18,2026090509,2046091527,5,7512300,7.5123,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,19,2026090510,2046091529,5,6991500,6.9915,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,20,2026090501,2046091521,5,7066800,7.0668,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,21,2026090502,2046091523,5,7039100,7.0391,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,22,2026090503,2046091525,5,7549000,7.549,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,23,2026090504,2046091527,5,7221300,7.2213,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,24,2026090505,2046091529,5,7695300,7.6953,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,25,2026090506,2046091531,5,7217400,7.2174,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,26,2026090507,2046091533,5,7239300,7.2393,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,27,2026090508,2046091535,5,7672100,7.6721,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,28,2026090509,2046091537,5,7374100,7.3741,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,1,2,29,2026090510,2046091539,5,7222100,7.2221,True,12,9715,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,2,1,0,2026090501,2046092501,5,5914900,5.9149,True,10,7953,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,2,1,1,2026090502,2046092503,5,6242000,6.242,True,10,7953,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,2,1,2,2026090503,2046092505,5,5991500,5.9915,True,10,7953,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,2,1,3,2026090504,2046092507,5,6031100,6.0311,True,10,7953,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,2,1,4,2026090505,2046092509,5,6076600,6.0766,True,10,7953,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,2,1,5,2026090506,2046092511,5,6106900,6.1069,True,10,7953,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,2,1,6,2026090507,2046092513,5,6169800,6.1698,True,10,7953,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,2,1,7,2026090508,2046092515,5,6169600,6.1696,True,10,7953,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
RELEASE,1,4,2,1,8,2026090509,2046092517,5,5870100,5.8701,True,10,7953,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
