experiment,configuration,seed,metric,value,ci_low,ci_high,unit,status,raw_file_sha256,notes,source_summary_file
E5,K_dist_decoy_authentication,,registered_K_dist_attacks_rejected,7,,,attacks,complete,389988448100fe0084398afcd0ba0fe61c792bfca5e891e161b8f6f1b132fe2d,tau_dist is independently generated and verified with K_dist; the generic outer record MAC remains separately classified as engineering hardening.,e5_summary_v6.csv
E5,K_dist_ablation,,real_erroneous_acceptance_counterexample,1,,,counterexamples,complete,f4e57863c3ea45f6124d85b6a5d2db2a3b15f9ade88c5b57c503f59c4ae3375a,,e5_summary_v6.csv
E5,ablations,,real_erroneous_acceptance_counterexamples,9,,,counterexamples,complete,f4e57863c3ea45f6124d85b6a5d2db2a3b15f9ade88c5b57c503f59c4ae3375a,,e5_summary_v6.csv
E5,ablations,,NO_COUNTEREXAMPLE_WITHIN_BOUND,0,,,ablations,complete,f4e57863c3ea45f6124d85b6a5d2db2a3b15f9ade88c5b57c503f59c4ae3375a,A bounded non-finding would not imply general security.,e5_summary_v6.csv
E5,confirmation_schema,,payload_fields,confirmation,,,,complete,8adb18883eea97725e3c78bdb66c141e42f8b2600dae5911bd8d991052538d8b,Online confirmation records carry no message field; gamma is recomputed from receiver-local recovery context.,e5_summary_v6.csv
E5,MAC_128_bit,,analytic_single_attempt_upper_bound,2.938735877055719e-39,,,probability,complete,ac32e96214097141d6a70952e2b977c3e6e7e8e79cfed66ef298ab4afe9beaed,No 128-bit Monte Carlo was performed.,e5_summary_v6.csv
E6,dtmc_L32_q003_q1020_t010,,honest_false_abort_probability,0.014901331562792053,0.014785425446155687,0.015059816823694616,probability,complete,ead041cf3329e7dc195c197186445a577593b89800588501d2ea6e048ac7c01d,,e6_summary_v6.csv
E6,dtmc_L32_q003_q1020_t010,,attack_miss_probability,0.09309309095426076,0.09286256884008451,0.09352047298526239,probability,complete,ead041cf3329e7dc195c197186445a577593b89800588501d2ea6e048ac7c01d,,e6_summary_v6.csv
E6,dtmc_all_registered,,maximum_prism_analytic_error,8.881784197001252e-16,,,probability,complete,ead041cf3329e7dc195c197186445a577593b89800588501d2ea6e048ac7c01d,,e6_summary_v6.csv
E6,dtmc_all_registered,,maximum_mc_analytic_error,0.0003221136995025242,,,probability,complete,ead041cf3329e7dc195c197186445a577593b89800588501d2ea6e048ac7c01d,Every trial materializes L independent error events.,e6_summary_v6.csv
E6,fair_all_registered,,pmax_fairness_violation,0.0,,,probability,complete,ae7123f61d2611a73b95806166042f54d4f94366a26d84e3979ae42d85a9b410,Finite protocol MDP only; corrupt parties authenticate their own malicious records.,e6_summary_v6.csv
E6,fair_all_registered,,maximum_information_lead,8,,,bits,complete,ae7123f61d2611a73b95806166042f54d4f94366a26d84e3979ae42d85a9b410,Computed solely from all PRISM-exported reachable states.,e6_summary_v6.csv
E6,fair_all_registered,,model_configurations,48,,,configurations,complete,ae7123f61d2611a73b95806166042f54d4f94366a26d84e3979ae42d85a9b410,,e6_summary_v6.csv
E6,fair_all_registered,,all_k_level_queries,944,,,queries,complete,3ed74416b19a64fdcf74589b6f3717747707c0ff4dce030231ea5e919311e019,Each finite MDP configuration queries every k from 0 through message_length_bits.,e6_summary_v6.csv
E7,ideal_zero_background_full_IMR,,ell_per_sequence,155,,,decoys,complete,50313ada716d8a612d616615a17b74ddfc40cf368006a38d070659e6e0316976,Ideal analytic value only; not an optical deployment parameter.,e7_summary_v6.csv
E7,threshold_q0_grid,,configurations_with_solution,11,,,configurations,complete,50313ada716d8a612d616615a17b74ddfc40cf368006a38d070659e6e0316976,,e7_summary_v6.csv
E7,reference_basic_n32_ell4,,actual_total_wire_bytes,5640,,,bytes,complete,9b11a86798e5a84607f0f0fda94f8e987be5607a155c2806c3b15ef871f9e11c,,e7_summary_v6.csv
E7,reference_basic_n32_ell155,,actual_total_wire_bytes,8515,,,bytes,complete,9b11a86798e5a84607f0f0fda94f8e987be5607a155c2806c3b15ef871f9e11c,,e7_summary_v6.csv
E7,explicit_full_protocol_phi1,,two_qubit_gates,25,,,gates,complete,6055ebfb59d73cd90a99e484ec6fe1fcfd47c080ceb4836ed55b93f04a3bb09b,Current explicit Qiskit implementation; no minimality claim.,e7_summary_v6.csv
E7,IAQD_basic,,paper_logical_auth_operations,12,,,operations,complete,45de8ae47aa561703992c71e40da3093deacf2bada4165d2be4b88ff5b754910,,e7_summary_v6.csv
E7,IAQD_basic,,upper_layer_round_count,5,,,rounds,complete,b3fdc9befd121521d28990ba2c10f92bbf2686e053c166802171765b112c7791,,e7_summary_v6.csv
E7,IAQD_fair_n32_lambda4,,upper_layer_round_count,22,,,rounds,complete,b3fdc9befd121521d28990ba2c10f92bbf2686e053c166802171765b112c7791,,e7_summary_v6.csv
E7,reference_basic_n32_ell4,,runtime_median_ms,19.868699950166047,19.72889254250196,20.063600784708385,milliseconds,complete,0a6db2db79ade2b67ef85905131f63240f294d3de6543caf953897a7d752c2b9,Python upper-layer reference implementation; external KE excluded.,e7_summary_v6.csv
E6,fair_single_block,,logical_configurations,32,,,configurations,complete,068667e2caf2e551540f2b1accfe0aa3e2b0c25d8bedf1ef22c41278d3e4d55e,,fair_protocol_summary_v6.csv
E6,fair_single_block,,exact_nonzero_branches,128,,,branches,complete,068667e2caf2e551540f2b1accfe0aa3e2b0c25d8bedf1ef22c41278d3e4d55e,,fair_protocol_summary_v6.csv
E6,fair_single_block,,exact_branch_success_rate,1.0,,,probability,complete,068667e2caf2e551540f2b1accfe0aa3e2b0c25d8bedf1ef22c41278d3e4d55e,,fair_protocol_summary_v6.csv
E6,fair_multiblock,,honest_complete_configurations,3456,,,configurations,complete,85b15876272e28a12c03caf94be95c8decf85241772753b389bbc71a19c037d7,,fair_protocol_summary_v6.csv
E6,fair_multiblock,,honest_success_rate,1.0,,,probability,complete,85b15876272e28a12c03caf94be95c8decf85241772753b389bbc71a19c037d7,,fair_protocol_summary_v6.csv
E6,fair_multiblock,,alice_corrupt_configurations,3456,,,configurations,complete,ca0d5d2f5dc58cd90bb0d9127c03e2856e73a5da8d98c49db5cd44a2056b2c98,,fair_protocol_summary_v6.csv
E6,fair_multiblock,,bob_corrupt_configurations,3456,,,configurations,complete,ca0d5d2f5dc58cd90bb0d9127c03e2856e73a5da8d98c49db5cd44a2056b2c98,,fair_protocol_summary_v6.csv
E6,fair_multiblock,,abort_prefixes_checked,37632,,,prefixes,complete,ca0d5d2f5dc58cd90bb0d9127c03e2856e73a5da8d98c49db5cd44a2056b2c98,,fair_protocol_summary_v6.csv
E6,fair_all,,maximum_information_lead,4,,,bits,complete,ca0d5d2f5dc58cd90bb0d9127c03e2856e73a5da8d98c49db5cd44a2056b2c98,,fair_protocol_summary_v6.csv
E6,fair_all,,fairness_violations,0,,,paths,complete,ca0d5d2f5dc58cd90bb0d9127c03e2856e73a5da8d98c49db5cd44a2056b2c98,,fair_protocol_summary_v6.csv
