tag_bits,seed,trials,successes,observed_probability,wilson_95_low,wilson_95_high,sampling_method,constant_time_reference_comparison,monte_carlo,analytic_single_attempt_upper_bound
12,2026083012,1000000,223,0.000223,0.00019559177513157143,0.00025424795564832104,independent_uniform_tag_bytes_truncated_and_compared,True,True,
12,2026083013,1000000,243,0.000243,0.00021431048177003673,0.00027552909535209313,independent_uniform_tag_bytes_truncated_and_compared,True,True,
12,2026083014,1000000,242,0.000242,0.00021337326893398242,0.0002744663158710356,independent_uniform_tag_bytes_truncated_and_compared,True,True,
12,2026083015,1000000,256,0.000256,0.00022650567610453342,0.00028933380114005075,independent_uniform_tag_bytes_truncated_and_compared,True,True,
12,2026083016,1000000,232,0.000232,0.00020400839468767568,0.0002638312669462237,independent_uniform_tag_bytes_truncated_and_compared,True,True,
12,2026083017,1000000,246,0.000246,0.00021712288896712012,0.00027871666510634536,independent_uniform_tag_bytes_truncated_and_compared,True,True,
12,2026083018,1000000,270,0.00027,0.0002396614293733465,0.0003041779403108039,independent_uniform_tag_bytes_truncated_and_compared,True,True,
12,2026083019,1000000,223,0.000223,0.00019559177513157143,0.00025424795564832104,independent_uniform_tag_bytes_truncated_and_compared,True,True,
12,2026083020,1000000,224,0.000224,0.00019652638284332454,0.00025531334025367985,independent_uniform_tag_bytes_truncated_and_compared,True,True,
12,2026083021,1000000,266,0.000266,0.000235900369098642,0.00029993903131706097,independent_uniform_tag_bytes_truncated_and_compared,True,True,
12,2026083022,1000000,237,0.000237,0.000208689162432112,0.00026915046078734666,independent_uniform_tag_bytes_truncated_and_compared,True,True,
12,2026083023,1000000,259,0.000259,0.00022932286527936903,0.0002925165889165509,independent_uniform_tag_bytes_truncated_and_compared,True,True,
12,2026083024,1000000,250,0.00025,0.00022087452998224922,0.0002829649933596637,independent_uniform_tag_bytes_truncated_and_compared,True,True,
12,2026083025,1000000,242,0.000242,0.00021337326893398242,0.0002744663158710356,independent_uniform_tag_bytes_truncated_and_compared,True,True,
12,2026083026,1000000,254,0.000254,0.00022462814386118514,0.0002872113487491753,independent_uniform_tag_bytes_truncated_and_compared,True,True,
12,2026083027,1000000,228,0.000228,0.0002002662568162335,0.0002595734355492184,independent_uniform_tag_bytes_truncated_and_compared,True,True,
12,2026083028,1000000,272,0.000272,0.00024154262138830358,0.0003062967329300706,independent_uniform_tag_bytes_truncated_and_compared,True,True,
12,2026083029,1000000,243,0.000243,0.00021431048177003673,0.00027552909535209313,independent_uniform_tag_bytes_truncated_and_compared,True,True,
12,2026083030,1000000,239,0.000239,0.00021056241024302872,0.00027127719761065375,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083001,1000000,18,1.8e-05,1.1386389236926e-05,2.8454916535032645e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083002,1000000,14,1.4e-05,8.339874724327562e-06,2.3501461779183594e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083003,1000000,13,1.3e-05,7.5976191153199e-06,2.224372507107938e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083004,1000000,19,1.9e-05,1.2164226075884132e-05,2.9677072013186386e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083005,1000000,24,2.4e-05,1.612873197046184e-05,3.5712527704168035e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083006,1000000,20,2e-05,1.2947561970587972e-05,3.089372843559441e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083007,1000000,14,1.4e-05,8.339874724327562e-06,2.3501461779183594e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083008,1000000,10,1e-05,5.431994839843524e-06,1.8409372395220142e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083009,1000000,15,1.5e-05,9.09061023353234e-06,2.4750718587090688e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083010,1000000,8,8e-06,4.0538044146304985e-06,1.578757818620942e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083011,1000000,22,2.2e-05,1.4529218105020206e-05,3.3312056935385926e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083012,1000000,12,1.2e-05,6.8647726157685394e-06,2.097657925351887e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083013,1000000,18,1.8e-05,1.1386389236926e-05,2.8454916535032645e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083014,1000000,19,1.9e-05,1.2164226075884132e-05,2.9677072013186386e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083015,1000000,9,9e-06,4.735081123813386e-06,1.7106293794138406e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083016,1000000,23,2.3e-05,1.5326884928932e-05,3.451438242858601e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083017,1000000,17,1.7e-05,1.0614492680504599e-05,2.722682077434217e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083018,1000000,11,1.1e-05,6.142447654735242e-06,1.9698911897440297e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083019,1000000,17,1.7e-05,1.0614492680504599e-05,2.722682077434217e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083020,1000000,16,1.6e-05,9.849039998359881e-06,2.5992281139375016e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083021,1000000,11,1.1e-05,6.142447654735242e-06,1.9698911897440297e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083022,1000000,19,1.9e-05,1.2164226075884132e-05,2.9677072013186386e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083023,1000000,17,1.7e-05,1.0614492680504599e-05,2.722682077434217e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083024,1000000,13,1.3e-05,7.5976191153199e-06,2.224372507107938e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
