initial_state,resource_class,preparation_qubits,preparation_single_qubit_gates,preparation_two_qubit_gates,preparation_depth,preparation_count_ops,preparation_fidelity,encoding_message_A,encoding_message_B,alice_encoding_single_qubit_gates,bob_encoding_single_qubit_gates,bell_basis_single_qubit_gates,bell_basis_two_qubit_gates,full_single_block_single_qubit_gates_total,full_single_block_two_qubit_gates_total,full_single_block_measurements,full_single_block_depth,full_single_block_count_ops,pre_transpile_total_operations,post_transpile_single_qubit_gates,post_transpile_two_qubit_gates,post_transpile_measurements,post_transpile_total_operations,post_transpile_depth,post_transpile_count_ops,basis_gates,transpiler_seed,transmitted_data_qubits,local_storage_qubits,joint_6n_state_constructed,minimum_gate_claim
phi1,current_Qiskit_explicit_circuit_not_minimal_gate_claim,6,27,22,27,"{""cx"": 22, ""h"": 12, ""s"": 10, ""x"": 4, ""y"": 1}",0.9999999999999976,11,11,2,2,3,3,34,25,6,32,"{""cx"": 25, ""h"": 15, ""measure"": 6, ""s"": 10, ""x"": 6, ""y"": 1, ""z"": 2}",65,49,23,6,78,34,"{""cx"": 23, ""measure"": 6, ""rz"": 31, ""sx"": 15, ""x"": 3}","rz,sx,x,cx",20260830,2,4,False,False
phi2,current_Qiskit_explicit_circuit_not_minimal_gate_claim,6,26,22,27,"{""cx"": 22, ""h"": 12, ""s"": 10, ""x"": 3, ""y"": 1}",0.9999999999999976,11,11,2,2,3,3,33,25,6,32,"{""cx"": 25, ""h"": 15, ""measure"": 6, ""s"": 10, ""x"": 5, ""y"": 1, ""z"": 2}",64,48,23,6,77,34,"{""cx"": 23, ""measure"": 6, ""rz"": 31, ""sx"": 15, ""x"": 2}","rz,sx,x,cx",20260830,2,4,False,False
