angle_source,theta,unitarity_error,bb84_evolution_error,qber_density,trace_distance_nuclear_norm,helstrom_guess,qber_qiskit,trace_distance_qiskit,helstrom_qiskit,qber_analytic,trace_distance_analytic,helstrom_analytic,maximum_component_error,scope
grid,0.0,0.0,0.0,1.6653345369377348e-16,0.0,0.5,1.6653345369377348e-16,0.0,0.5,0.0,0.0,0.5,1.6653345369377348e-16,specified_U_theta_probe_family_only
grid,0.015707963267948967,3.659548949486388e-19,0.0,3.0841879584964094e-05,0.015707317311820675,0.5078536586559104,3.0841879584964094e-05,0.015707317311820675,0.5078536586559104,3.084187958485307e-05,0.015707317311820675,0.5078536586559104,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,0.031415926535897934,5.428090477460252e-19,0.0,0.00012335990856726653,0.03141075907812829,0.5157053795390641,0.00012335990856726653,0.03141075907812829,0.5157053795390641,0.0001233599085671,0.03141075907812829,0.5157053795390641,1.6653345369377348e-16,specified_U_theta_probe_family_only
grid,0.0471238898038469,2.9692043288659948e-18,0.0,0.00027753125950769064,0.047106450709642665,0.5235532253548213,0.00027753125950769064,0.047106450709642665,0.5235532253548213,0.00027753125950749635,0.047106450709642665,0.5235532253548213,1.942890293094024e-16,specified_U_theta_probe_family_only
grid,0.06283185307179587,5.024672601642558e-18,0.0,0.0004933178929323323,0.06279051952931336,0.5313952597646567,0.0004933178929323323,0.06279051952931336,0.5313952597646567,0.0004933178929321103,0.06279051952931337,0.5313952597646567,2.220446049250313e-16,specified_U_theta_probe_family_only
grid,0.07853981633974483,2.4037328984954106e-18,0.0,0.0007706665667181478,0.07845909572784494,0.5392295478639225,0.0007706665667181478,0.07845909572784494,0.5392295478639225,0.000770666566718009,0.07845909572784494,0.5392295478639225,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,0.0942477796076938,5.860440899152811e-18,0.0,0.0011095088492301675,0.09410831331851433,0.5470541566592572,0.0011095088492301675,0.09410831331851433,0.5470541566592572,0.001109508849230001,0.09410831331851433,0.5470541566592572,1.6653345369377348e-16,specified_U_theta_probe_family_only
grid,0.10995574287564278,2.5911884669125998e-18,0.0,0.0015097611362052676,0.10973431109104528,0.5548671555455227,0.0015097611362052676,0.10973431109104528,0.5548671555455227,0.0015097611362050734,0.10973431109104528,0.5548671555455227,1.942890293094024e-16,specified_U_theta_probe_family_only
grid,0.12566370614359174,1.2911337985001153e-18,0.0,0.0019713246713807253,0.12533323356430426,0.5626666167821521,0.0019713246713807253,0.12533323356430426,0.5626666167821521,0.001971324671380531,0.12533323356430426,0.5626666167821521,1.942890293094024e-16,specified_U_theta_probe_family_only
grid,0.1413716694115407,1.1102230246251565e-16,0.0,0.0024940855708608656,0.1409012319375827,0.5704506159687913,0.0024940855708608656,0.1409012319375827,0.5704506159687913,0.0024940855708606158,0.14090123193758267,0.5704506159687913,2.498001805406602e-16,specified_U_theta_probe_family_only
grid,0.15707963267948966,6.721972338421803e-18,0.0,0.0030779148512156684,0.1564344650402309,0.5782172325201155,0.0030779148512156684,0.1564344650402309,0.5782172325201155,0.0030779148512155574,0.15643446504023087,0.5782172325201155,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,0.17278759594743864,1.1102230246251565e-16,0.0,0.003722668461306783,0.17192910027940955,0.5859645501397048,0.003722668461306783,0.17192910027940955,0.5859645501397048,0.003722668461306533,0.17192910027940955,0.5859645501397048,2.498001805406602e-16,specified_U_theta_probe_family_only
grid,0.1884955592153876,2.074003326461664e-18,0.0,0.0044281873178279585,0.18738131458572463,0.5936906572928623,0.0044281873178279585,0.18738131458572463,0.5936906572928623,0.00442818731782782,0.18738131458572463,0.5936906572928623,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,0.20420352248333656,1.1102230246251565e-16,0.0,0.005194297344558785,0.20278729535651246,0.6013936476782562,0.005194297344558785,0.20278729535651246,0.6013936476782562,0.005194297344558563,0.2027872953565125,0.6013936476782562,2.220446049250313e-16,specified_U_theta_probe_family_only
grid,0.21991148575128555,1.3328361968112813e-17,0.0,0.006020809515313363,0.2181432413965426,0.6090716206982713,0.006020809515313363,0.2181432413965426,0.6090716206982713,0.006020809515313141,0.21814324139654256,0.6090716206982713,2.220446049250313e-16,specified_U_theta_probe_family_only
