resource_class,benchmark_status,n_blocks,ell_per_sequence,ell_scenario,rho_bits,d_H_bits,nu_bits,h_bits,tau_bits,commitment_bits,salt_bits,theoretical_compact_decoy_bits,KE_QKD_communication_included,parameter_source,mode,lambda_bits,r,formula,paper_analytic_bits
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,16,4,reference_executor_small,256,256,128,256,128,256,128,42,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,1,32,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),52660
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,16,4,reference_executor_small,256,256,128,256,128,256,128,42,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,2,16,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),28084
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,16,4,reference_executor_small,256,256,128,256,128,256,128,42,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,4,8,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),15796
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,16,4,reference_executor_small,256,256,128,256,128,256,128,42,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,8,4,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),9652
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,32,4,reference_executor_small,256,256,128,256,128,256,128,48,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,original_AQD,,,rho+D_dec+4n+2d_H,944
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,32,4,reference_executor_small,256,256,128,256,128,256,128,48,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_basic,,,2nu+6(h+tau)+4n+D_dec+2ceil(log2(n+ell+1)),2748
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,32,4,reference_executor_small,256,256,128,256,128,256,128,48,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,1,64,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),101948
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,32,4,reference_executor_small,256,256,128,256,128,256,128,48,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,2,32,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),52796
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,32,4,reference_executor_small,256,256,128,256,128,256,128,48,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,4,16,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),28220
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,32,4,reference_executor_small,256,256,128,256,128,256,128,48,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,8,8,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),15932
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,1,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,636,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,original_AQD,,,rho+D_dec+4n+2d_H,1408
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,1,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,636,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_basic,,,2nu+6(h+tau)+4n+D_dec+2ceil(log2(n+ell+1)),3216
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,1,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,636,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,1,2,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),7060
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,1,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,636,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,2,1,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),5524
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,2,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,648,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,original_AQD,,,rho+D_dec+4n+2d_H,1424
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,2,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,648,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_basic,,,2nu+6(h+tau)+4n+D_dec+2ceil(log2(n+ell+1)),3232
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,2,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,648,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,1,4,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),10152
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,2,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,648,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,2,2,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),7080
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,2,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,648,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,4,1,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),5544
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,4,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,670,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,original_AQD,,,rho+D_dec+4n+2d_H,1454
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,4,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,670,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_basic,,,2nu+6(h+tau)+4n+D_dec+2ceil(log2(n+ell+1)),3262
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,4,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,670,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,1,8,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),16334
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,4,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,670,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,2,4,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),10190
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,4,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,670,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,4,2,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),7118
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,4,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,670,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,8,1,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),5582
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,8,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,708,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,original_AQD,,,rho+D_dec+4n+2d_H,1508
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,8,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,708,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_basic,,,2nu+6(h+tau)+4n+D_dec+2ceil(log2(n+ell+1)),3316
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,8,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,708,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,1,16,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),28692
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,8,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,708,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,2,8,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),16404
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,8,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,708,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,4,4,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),10260
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,8,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,708,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,8,2,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),7188
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,16,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,768,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,original_AQD,,,rho+D_dec+4n+2d_H,1600
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,16,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,768,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_basic,,,2nu+6(h+tau)+4n+D_dec+2ceil(log2(n+ell+1)),3408
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,16,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,768,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,1,32,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),53392
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,16,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,768,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,2,16,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),28816
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,16,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,768,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,4,8,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),16528
