profile,initial_state,alice_message,bob_message,single_qubit_error,two_qubit_error,readout_error,noise_class,affected_operations,shots,bell_label_recovery_rate,alice_decode_rate,bob_decode_rate,acceptance_rate,honest_false_abort
low,phi2,10,11,0.0005,0.005,0.01,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.83935546875,0.83935546875,0.83935546875,0.83935546875,0.16064453125
low,phi2,11,00,0.0005,0.005,0.01,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.839111328125,0.839111328125,0.839111328125,0.839111328125,0.160888671875
low,phi2,11,01,0.0005,0.005,0.01,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.8475341796875,0.8475341796875,0.8475341796875,0.8475341796875,0.1524658203125
low,phi2,11,10,0.0005,0.005,0.01,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.843505859375,0.843505859375,0.843505859375,0.843505859375,0.156494140625
low,phi2,11,11,0.0005,0.005,0.01,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.85107421875,0.85107421875,0.85107421875,0.85107421875,0.14892578125
medium,phi1,00,00,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.71337890625,0.71337890625,0.71337890625,0.71337890625,0.28662109375
medium,phi1,00,01,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.71142578125,0.71142578125,0.71142578125,0.71142578125,0.28857421875
medium,phi1,00,10,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.71923828125,0.71923828125,0.71923828125,0.71923828125,0.28076171875
medium,phi1,00,11,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.716552734375,0.716552734375,0.716552734375,0.716552734375,0.283447265625
medium,phi1,01,00,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.71923828125,0.71923828125,0.71923828125,0.71923828125,0.28076171875
medium,phi1,01,01,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.71923828125,0.71923828125,0.71923828125,0.71923828125,0.28076171875
medium,phi1,01,10,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.7181396484375,0.7181396484375,0.7181396484375,0.7181396484375,0.2818603515625
medium,phi1,01,11,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.7254638671875,0.7254638671875,0.7254638671875,0.7254638671875,0.2745361328125
medium,phi1,10,00,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.7176513671875,0.7176513671875,0.7176513671875,0.7176513671875,0.2823486328125
medium,phi1,10,01,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.71435546875,0.71435546875,0.71435546875,0.71435546875,0.28564453125
medium,phi1,10,10,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.7213134765625,0.7213134765625,0.7213134765625,0.7213134765625,0.2786865234375
medium,phi1,10,11,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.7108154296875,0.7108154296875,0.7108154296875,0.7108154296875,0.2891845703125
medium,phi1,11,00,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.716552734375,0.716552734375,0.716552734375,0.716552734375,0.283447265625
medium,phi1,11,01,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.7149658203125,0.7149658203125,0.7149658203125,0.7149658203125,0.2850341796875
medium,phi1,11,10,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.7138671875,0.7138671875,0.7138671875,0.7138671875,0.2861328125
medium,phi1,11,11,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.715087890625,0.715087890625,0.715087890625,0.715087890625,0.284912109375
medium,phi2,00,00,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.7144775390625,0.7144775390625,0.7144775390625,0.7144775390625,0.2855224609375
medium,phi2,00,01,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.7208251953125,0.7208251953125,0.7208251953125,0.7208251953125,0.2791748046875
medium,phi2,00,10,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.7337646484375,0.7337646484375,0.7337646484375,0.7337646484375,0.2662353515625
medium,phi2,00,11,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.7119140625,0.7119140625,0.7119140625,0.7119140625,0.2880859375
medium,phi2,01,00,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.7196044921875,0.7196044921875,0.7196044921875,0.7196044921875,0.2803955078125
medium,phi2,01,01,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.7177734375,0.7177734375,0.7177734375,0.7177734375,0.2822265625
medium,phi2,01,10,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.7108154296875,0.7108154296875,0.7108154296875,0.7108154296875,0.2891845703125
medium,phi2,01,11,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.71875,0.71875,0.71875,0.71875,0.28125
medium,phi2,10,00,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.72314453125,0.72314453125,0.72314453125,0.72314453125,0.27685546875
medium,phi2,10,01,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.71728515625,0.71728515625,0.71728515625,0.71728515625,0.28271484375
medium,phi2,10,10,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.7093505859375,0.7093505859375,0.7093505859375,0.7093505859375,0.2906494140625
medium,phi2,10,11,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.7091064453125,0.7091064453125,0.7091064453125,0.7091064453125,0.2908935546875
medium,phi2,11,00,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.718505859375,0.718505859375,0.718505859375,0.718505859375,0.281494140625
medium,phi2,11,01,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.718017578125,0.718017578125,0.718017578125,0.718017578125,0.281982421875
medium,phi2,11,10,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.7149658203125,0.7149658203125,0.7149658203125,0.7149658203125,0.2850341796875
medium,phi2,11,11,0.001,0.01,0.02,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.7095947265625,0.7095947265625,0.7095947265625,0.7095947265625,0.2904052734375
high,phi1,00,00,0.005,0.03,0.05,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.387451171875,0.387451171875,0.387451171875,0.387451171875,0.612548828125
high,phi1,00,01,0.005,0.03,0.05,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.396240234375,0.396240234375,0.396240234375,0.396240234375,0.603759765625
high,phi1,00,10,0.005,0.03,0.05,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.388427734375,0.388427734375,0.388427734375,0.388427734375,0.611572265625
high,phi1,00,11,0.005,0.03,0.05,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.393310546875,0.393310546875,0.393310546875,0.393310546875,0.606689453125
high,phi1,01,00,0.005,0.03,0.05,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.38623046875,0.38623046875,0.38623046875,0.38623046875,0.61376953125
high,phi1,01,01,0.005,0.03,0.05,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.386474609375,0.386474609375,0.386474609375,0.386474609375,0.613525390625
high,phi1,01,10,0.005,0.03,0.05,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.3905029296875,0.3905029296875,0.3905029296875,0.3905029296875,0.6094970703125
high,phi1,01,11,0.005,0.03,0.05,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.3856201171875,0.3856201171875,0.3856201171875,0.3856201171875,0.6143798828125
high,phi1,10,00,0.005,0.03,0.05,C_gate_and_measurement,"h,x,y,z,s,sdg,cx,cz,measure",8192,0.393310546875,0.393310546875,0.393310546875,0.393310546875,0.606689453125
