initial_state,alice_message,bob_message,noise_class,noise_scope,affected_qubits,channel,p,state_fidelity_to_ideal,bell_label_probability,alice_decode_rate,bob_decode_rate,acceptance_rate,honest_false_abort
phi1,00,00,A_transmission_channel,transmission_S3_S4_only,"2,3",bit_flip,0.0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,9.992007221626409e-16
phi1,00,00,A_transmission_channel,transmission_S3_S4_only,"2,3",bit_flip,0.01,0.980099999999999,0.9801999999999991,0.9801999999999991,0.9801999999999991,0.9801999999999991,0.019800000000000928
phi1,00,00,A_transmission_channel,transmission_S3_S4_only,"2,3",bit_flip,0.02,0.9603999999999989,0.9607999999999989,0.9607999999999989,0.9607999999999989,0.9607999999999989,0.03920000000000112
phi1,00,00,A_transmission_channel,transmission_S3_S4_only,"2,3",bit_flip,0.05,0.9024999999999991,0.9049999999999989,0.9049999999999989,0.9049999999999989,0.9049999999999989,0.09500000000000108
phi1,00,00,A_transmission_channel,transmission_S3_S4_only,"2,3",bit_flip,0.1,0.8099999999999992,0.8199999999999992,0.8199999999999992,0.8199999999999992,0.8199999999999992,0.18000000000000083
phi1,00,00,A_transmission_channel,transmission_S3_S4_only,"2,3",bit_flip,0.15,0.7224999999999994,0.7449999999999992,0.7449999999999992,0.7449999999999992,0.7449999999999992,0.2550000000000008
phi1,00,00,A_transmission_channel,transmission_S3_S4_only,"2,3",bit_flip,0.2,0.6399999999999996,0.6799999999999995,0.6799999999999995,0.6799999999999995,0.6799999999999995,0.3200000000000005
phi1,00,00,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_flip,0.0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,9.992007221626409e-16
phi1,00,00,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_flip,0.01,0.9800999999999991,0.9801999999999991,0.9801999999999991,0.9801999999999991,0.9801999999999991,0.019800000000000928
phi1,00,00,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_flip,0.02,0.960399999999999,0.9607999999999991,0.9607999999999991,0.9607999999999991,0.9607999999999991,0.0392000000000009
