prepared_basis,prepared_bit,eve_basis,shots,passes,pass_rate,seed_simulator,circuit_operations
Z,0,Z,8192,8192,1.0,2026083001,measure;reset;if_else;measure
Z,0,X,8192,4091,0.4993896484375,2026083001,h;measure;reset;if_else;h;measure
Z,1,Z,8192,8192,1.0,2026083001,x;measure;reset;if_else;measure
Z,1,X,8192,4090,0.499267578125,2026083001,x;h;measure;reset;if_else;h;measure
X,0,Z,8192,4108,0.50146484375,2026083001,h;measure;reset;if_else;h;measure
X,0,X,8192,8192,1.0,2026083001,h;h;measure;reset;if_else;h;h;measure
X,1,Z,8192,4085,0.4986572265625,2026083001,x;h;measure;reset;if_else;h;measure
X,1,X,8192,8192,1.0,2026083001,x;h;h;measure;reset;if_else;h;h;measure
