initial_state,stabilizer_generators,gate_sequence,single_qubit_gates,two_qubit_gates,depth,measurements,nonzero_amplitudes_actual,nonzero_amplitudes_target,support_matches,maximum_aligned_amplitude_error,preparation_fidelity
phi1,-IIIIYY +YYIIII -IIIZXZ +IIXYIY +IYYZII +XZXIII,"h(2);h(3);h(5);cx(3,2);cx(5,3);cx(3,4);h(4);cx(4,3);s(1);h(1);s(1);s(5);h(5);cx(5,1);cx(1,5);cx(5,1);cx(1,5);h(2);s(4);h(4);cx(2,4);cx(4,2);cx(2,4);cx(2,4);cx(1,2);s(0);h(0);s(0);s(4);h(4);cx(1,0);cx(0,1);cx(1,0);cx(4,1);cx(0,1);h(4);s(4);cx(0,4);cx(4,0);cx(0,4);cx(4,0);s(4);h(4);s(4);x(0);y(1);x(2);x(4);x(5)",27,22,27,0,32,32,True,1.1113714042552588e-16,0.9999999999999978
phi2,+IIIIYY +YYIIII +IIIZXZ -IIXYIY +IYYZII +XZXIII,"h(2);h(3);h(5);cx(3,2);cx(5,3);cx(3,4);h(4);cx(4,3);s(1);h(1);s(1);s(5);h(5);cx(5,1);cx(1,5);cx(5,1);cx(1,5);h(2);s(4);h(4);cx(2,4);cx(4,2);cx(2,4);cx(2,4);cx(1,2);s(0);h(0);s(0);s(4);h(4);cx(1,0);cx(0,1);cx(1,0);cx(4,1);cx(0,1);h(4);s(4);cx(0,4);cx(4,0);cx(0,4);cx(4,0);s(4);h(4);s(4);y(1);x(2);x(4);x(5)",26,22,27,0,32,32,True,1.1113714042552588e-16,0.9999999999999978
